ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10238251,HY425744,09/15/2015 06:00:00 PM,059XX N GLENWOOD AVE,820,THEFT,$500 AND UNDER,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,2013,20,48,77,6,1165910,1939379,2015,02-10-2018 15:50,41.98924362,-87.66511973,"(41.989243623, -87.665119726)"
11038135,JA372338,11/16/2013 12:00:00 AM,007XX E 103RD PL,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,FALSE,FALSE,512,5,9,50,11,,,2013,08-02-2017 15:54,,,
11038365,JA372577,06/17/2009 09:00:00 AM,007XX W 118TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,524,5,34,53,11,,,2009,08-02-2017 15:54,,,
11038613,JA371551,06-01-2014 09:00,051XX N KEATING AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,APARTMENT,FALSE,FALSE,1712,17,39,14,11,,,2014,08-02-2017 15:54,,,
11038630,HZ570211,01-01-2015 00:01,114XX S EMERALD AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,FALSE,FALSE,2233,22,34,49,20,,,2015,08-02-2017 15:54,,,
11038667,JA372875,01-01-2015 09:00,025XX W TOUHY AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,FALSE,FALSE,2411,24,50,2,11,,,2015,08-02-2017 15:54,,,
11038676,JA372963,09-01-2014 09:00,068XX S WINCHESTER AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,FALSE,FALSE,726,7,17,67,11,,,2014,08-02-2017 15:54,,,
11039122,JA371416,01-01-2015 00:01,026XX W WARREN BLVD,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,FALSE,FALSE,1222,12,2,27,20,,,2015,08-02-2017 15:54,,,
11039125,JA371523,01-01-2015 00:01,023XX S OAKLEY AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,FALSE,FALSE,1034,10,25,31,17,,,2015,08-02-2017 15:54,,,
11039128,JA371681,08-01-2015 00:01,039XX N LAWNDALE AVE,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,1732,17,39,16,20,,,2015,08-02-2017 15:54,,,
11039140,JA371686,01-01-2010 00:00,055XX W FARRAGUT AVE,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,FALSE,FALSE,1623,16,45,11,2,,,2010,08-02-2017 15:54,,,
11039142,JA371468,01-01-2015 00:01,041XX S ALBANY AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,FALSE,FALSE,921,9,14,58,20,,,2015,08-02-2017 15:54,,,
